	Antibiotics-MS357wF	AntibioticsCu-MS357wF	AntibioticsCuJuJu-MS357wF	AntibioticsJuJu-MS357wF	Control-MS357wF	Cu-MS357wF	CuJuJu-MS357wF	JuJu-MS357wF
Bacteria ; Acidobacteria ; Unknown ; Unknown ; Unknown ; Unknown	0	0	0	0	10	0	0	0
Bacteria ; Actinobacteria ; Acidimicrobiia ; Acidimicrobiales ; Acidimicrobiaceae ; Ilumatobacter	0	0	0	0	8	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Corynebacteriales ; Corynebacteriaceae ; Corynebacterium	0	117	18	13	2	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Corynebacteriales ; Dietziaceae ; Dietzia	0	0	13	0	0	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Corynebacteriales ; Gordoniaceae ; Gordonia	0	7	0	0	0	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Corynebacteriales ; Nocardiaceae ; Rhodococcus	0	0	7	0	3	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Geodermatophilales ; Geodermatophilaceae ; Geodermatophilus	0	26	0	0	0	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Kineosporiales ; Kineosporiaceae ; Kineococcus	0	8	0	0	0	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Micrococcales ; Cellulomonadaceae ; Cellulomonas	0	2	2	0	0	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Micrococcales ; Microbacteriaceae ; Frigoribacterium	0	0	0	0	61	0	1	1
Bacteria ; Actinobacteria ; Actinobacteria ; Micrococcales ; Microbacteriaceae ; Microbacterium	4	2	0	0	2	0	6	5
Bacteria ; Actinobacteria ; Actinobacteria ; Micrococcales ; Microbacteriaceae ; Rathayibacter	0	0	0	0	4	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Micrococcales ; Microbacteriaceae ; Unknown	0	11	0	8	162	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Micrococcales ; Micrococcaceae ; Arthrobacter	0	0	0	0	641	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Micrococcales ; Micrococcaceae ; Kocuria	5	3	3	2	0	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Micrococcales ; Micrococcaceae ; Micrococcus	0	43	9	0	1	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Micrococcales ; Micrococcaceae ; Rothia	0	4	0	0	0	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Micrococcales ; Promicromonosporaceae ; Isoptericola	0	15	0	0	0	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Micrococcales ; Sanguibacteraceae ; Sanguibacter	0	0	0	0	634	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Micrococcales ; Unknown ; Unknown	0	0	0	0	19	0	0	0
Bacteria ; Actinobacteria ; Actinobacteria ; Micromonosporales ; Micromonosporaceae ; Actinoplanes	0	8	0	0	0	0	0	0
