model,term,sumsq,df,statistic,p.value,sig
size,Cu,0.012510667741935655,1,4.347046281794753,0.03969970174808893,*
size,Predation,0.0012029697979799026,1,0.4179925080970003,0.5194672860764882,
size,Antibiotic,0.06818306676767755,1,23.691377070168894,4.382084744074388e-6,***
size,Cu:Predation,0.002253090659340762,1,0.782875029156387,0.3784513090103311,
size,Predation:Antibiotic,0.16019539835164953,1,55.66264128579788,3.686110451937353e-11,***
size,Cu:Antibiotic,0.041253386243386814,1,14.334197261081716,2.652463291199538e-4,***
size,Cu:Predation:Antibiotic,0.0038926285714286912,1,1.352560623212508,0.2476840759948383,
age,Cu,1.2430107526881464,1,5.197070819428899,0.02481553759237234,*
age,Predation,9.832727272727368,1,41.11097178683434,5.2254690174378626e-9,***
age,Antibiotic,12.232727272727423,1,51.14545454545528,1.623523218273514e-10,***
age,Cu:Predation,9.525335775335861,1,39.82575733653364,8.31031284488492e-9,***
age,Predation:Antibiotic,11.658669108669166,1,48.74529756641859,3.6393348335378285e-10,***
age,Cu:Antibiotic,0.1354497354497255,1,0.5663200145958361,0.453547358018065,
age,Cu:Predation:Antibiotic,0.634920634920654,1,2.654625068418257,0.10649254588924528,
gr,Cu,8.306134608227368e-6,1,0.6905397784487823,0.40802165660849044,
gr,Predation,2.747767290031979e-4,1,22.84387028604189,6.250743246550549e-6,***
gr,Antibiotic,7.344287516178139e-4,1,61.05755460864287,6.6549830736861e-12,***
gr,Cu:Predation,2.772769080168229e-4,1,23.051725460991836,5.727718115770393e-6,***
gr,Predation:Antibiotic,0.0010411661433845454,1,86.55851029298134,4.278041723743679e-15,***
gr,Cu:Antibiotic,3.7176782214891476e-5,1,3.0907333151910628,0.08189368560797655,
gr,Cu:Predation:Antibiotic,1.0278767773017625e-4,1,8.545368399972094,0.004311122124780004,**
repr,Cu,1.1010752688172047,1,1.7499339335106854,0.18899520364392897,
repr,Predation,6.933737373737372,1,11.0197573771577,0.0012708945735586882,**
repr,Antibiotic,0.004949494949492816,1,0.007866209886960181,0.9295098224836598,
repr,Cu:Predation,2.442002441966906e-4,1,3.881063411318239e-4,0.9843228268865114,
repr,Predation:Antibiotic,7.693833943833937,1,12.227775410462455,7.120043010574953e-4,***
repr,Cu:Antibiotic,5.291005290999351e-4,1,8.408970724635777e-4,0.9769255851800775,
repr,Cu:Predation:Antibiotic,1.5253968253968253,1,2.424306259915216,0.12272294634130679,
ind,Cu,69.91935483870839,1,0.37643907970516455,0.5409512854885319,
ind,Predation,23275.99999999998,1,125.31574468085098,3.6220755984726416e-19,***
ind,Antibiotic,927.3636363636397,1,4.992836599108588,0.027747948996781045,*
ind,Cu:Predation,29.065934065933106,1,0.15648819265840028,0.6932792449348111,
ind,Predation:Antibiotic,1931.6620879120892,1,10.399882841487845,0.0017179040948029395,**
ind,Cu:Antibiotic,30.476190476190823,1,0.1640808774943854,0.6863187647027065,
ind,Cu:Predation:Antibiotic,1372.8571428571413,1,7.391330778379799,0.007765116101174972,**
lipid,Cu,12.775268817204278,1,1.0090118406813675,0.3176389328446066,
lipid,Predation,117.81818181818176,1,9.305474679483975,0.002946299322796512,**
lipid,Antibiotic,0.058181818181765266,1,0.0045952961380126,0.9460934449380574,
lipid,Cu:Predation,25.16263736263727,1,1.9873866769426274,0.16181266882555267,
lipid,Predation:Antibiotic,2.4664835164835495,1,0.19480694368057486,0.6599278879950704,
lipid,Cu:Antibiotic,115.88571428571413,1,9.152845200614124,0.003179020430583486,**
lipid,Cu:Predation:Antibiotic,6.914285714285597,1,0.5461017106875206,0.4616993922155175,
